5010/Samsung/Samsung Galexy/Samsung Galexy M01 Black(3 GB RAM)/13MP + 2MP Rear Camera/4000 mAh Battery/9,999/10,499/3 GB RAM/32 GB Storage/5 inch Display/Black/samsung-galexy-m01-black.jpg
5010/Samsung/Samsung Galexy/Samsung Galaxy M01 Blue(3 GB RAM)/13MP + 2MP Rear Camera/4000 mAh Battery/9,999/10,499/3 GB RAM/32 GB Storage/5 inch Display/Blue/samsung-galexy-m01-blue.jpg
5010/Samsung/Samsung Galexy/Samsung Galexy M01 Red(3 GB RAM)/13MP + 2MP Rear Camera/4000 mAh Battery/9,999/10,499/3 GB RAM/32 GB Storage/5 inch Display/Red/samsung-galexy-m01-red.jpg
5010/Samsung/Samsung Galexy/Samsung Galexy M11 Black(3 GB RAM)/13MP + 8MP + 5MP + 2MP Rear Camera/5000 mAh Battery/11,600/11,999/3 GB RAM/32 GB Storage/6.4 inch Display/Black/samsung-galexy-m11-black.jpg
5010/Samsung/Samsung Galexy/Samsung Galexy M11 Metalic Blue(3 GB RAM)/13MP + 8MP + 5MP + 2MP Rear Camera/5000 mAh Battery/11,999/10,499/3 GB RAM/32 GB Storage/6.4 inch Display/Metalic Blue/samsung-galexy-m11-metalicblue.jpg
5010/Samsung/Samsung Galexy/Samsung Galexy M11 Voilet(3 GB RAM)/13MP + 8MP + 5MP + 2MP Rear Camera/5000 mAh Battery/11,600/11,999/3 GB RAM/32 GB Storage/6.4 inch Display/Voilet/samsung-galexy-m11-voilet.jpg
